problem,method,iterations,f_final,final_grad_norm,runtime,f_opt,success,f_gap
quad_10_10,GradientDescent,117,-24.70881606855041,9.936092751427367e-07,0.0015027523040771484,-24.708816068555333,True,4.924061158817494e-12
quad_10_1000,GradientDescent,1000,-667.136199722888,0.1275886852318947,0.009006261825561523,-673.6285228799816,False,6.492323157093551
quad_1000_10,GradientDescent,143,-2014.9674990671874,9.200581485614621e-07,0.03202033042907715,-2014.9674990671917,True,4.320099833421409e-12
quad_1000_1000,GradientDescent,1000,-68655.27649333268,2.6999271961667715,0.2322075366973877,-71463.47878017556,False,2808.2022868428758
quartic_1,GradientDescent,2,2.670959050465488e-20,2.311258986122277e-10,0.0,0.0,True,2.670959050465488e-20
quartic_2,GradientDescent,10,3.172248326568782e-13,7.965236069150222e-07,0.0004994869232177734,0.0,True,3.172248326568782e-13
Rosenbrock_2,GradientDescent,1000,0.000748424735481543,0.07389657773655635,0.022519350051879883,0.0,False,0.000748424735481543
Rosenbrock_100,GradientDescent,1000,6.6417022943764765,31.81890275734348,0.24724221229553223,0.0,False,6.6417022943764765
DataFit_2,GradientDescent,786,8.457618240913185e-13,9.111607587348836e-07,0.03403162956237793,,True,
Exponential_10,GradientDescent,29,-0.20557280899976715,5.845994481279426e-07,0.0004990100860595703,,True,
Exponential_1000,GradientDescent,22,-0.20557280899916036,9.9799704428305e-07,0.000499725341796875,,True,
Genhumps_5,GradientDescent,251,4.1366586861747245e-12,9.095777796510567e-07,0.0065000057220458984,,True,
Powell,GradientDescent,1000,0.00017475718856658565,0.008454295888518405,0.020015716552734375,0.0,False,0.00017475718856658565
IllConditioned_10_6,GradientDescent,1000,63.24949998478796,244.81713584102243,0.09511470794677734,-0.32324872971028135,False,63.57274871449824
quad_10_10,GradientDescentW,117,-24.70881606855041,9.936092751427367e-07,0.0009996891021728516,-24.708816068555333,True,4.924061158817494e-12
quad_10_1000,GradientDescentW,1000,-673.620594955425,0.0045580135783584086,0.021520376205444336,-673.6285228799816,False,0.007927924556611288
quad_1000_10,GradientDescentW,143,-2014.9674990671874,9.200581485614621e-07,0.03502368927001953,-2014.9674990671917,True,4.320099833421409e-12
quad_1000_1000,GradientDescentW,1000,-71460.27573897917,0.08580029416754814,0.5835752487182617,-71463.47878017556,False,3.2030411963933147
quartic_1,GradientDescentW,2,2.670959050465488e-20,2.311258986122277e-10,0.0,0.0,True,2.670959050465488e-20
quartic_2,GradientDescentW,1000,141359.35773758148,441176.00787063595,0.16314196586608887,0.0,False,141359.35773758148
Rosenbrock_2,GradientDescentW,1000,6.544876375446407e-06,0.003653609773300528,0.04003739356994629,0.0,False,6.544876375446407e-06
Rosenbrock_100,GradientDescentW,1000,6.297931252167246,29.66962321289269,0.23235321044921875,0.0,False,6.297931252167246
DataFit_2,GradientDescentW,689,8.968043098422189e-13,9.071694046696536e-07,0.07856941223144531,,True,
Exponential_10,GradientDescentW,20,-0.20557280899981106,5.424889876204375e-07,0.0015232563018798828,,True,
Exponential_1000,GradientDescentW,20,-0.20557280899981106,5.424889876204375e-07,0.0004985332489013672,,True,
Genhumps_5,GradientDescentW,239,4.491308742840427e-12,9.477667163221579e-07,0.00900411605834961,,True,
Powell,GradientDescentW,1000,0.00017476682743063695,0.008584704035036434,0.03352928161621094,0.0,False,0.00017476682743063695
IllConditioned_10_6,GradientDescentW,1000,577947.5773234309,651040.8672509402,0.15711760520935059,-0.32324872971028135,False,577947.9005721606
